bus_id,x,y,v_nom,state,county,balancing_area,nerc_reg,reeds_ba,sub_id,load_mean_mw,load_peak_mw,n_lines,total_thermal_mva,max_line_mva,mean_line_length_km,solar_mean_cf,solar_p_nom_max_mw,wind_mean_cf,wind_p_nom_max_mw,renewable_cf_combined,renewable_potential_mw,lmp_mean,lmp_p95,lmp_std,lmp_spike_hrs,lmp_neg_hrs,renewable_sat,load_imbalance,congestion_score,lmp_score,composite,dominant_tech,lmp_p75,pct_protected,flood_risk,land_cost_k,land_cost_index,buildability
2020033,-122.828,39.0076,138.0,California,p06033,CISO-PGAE,WECC_CA,CISO,35848,12.168180977452215,21.2951,1.0,0.01,0.01,0.0,0.25499547,23.44998689024633,0.4059666,9.649765351689005,0.3153839,33.099752241935334,81.25,150.0,76.34660665560773,19,4,64.0,27.8,100.0,66.45490458026126,62.640980534582525,Congestion Relief,150.0,24,1,70,75.0,Clear
2020034,-122.583,41.6573,138.0,California,p06093,PACW,WECC_NWPP,PACW,35849,0.0,0.0,3.0,400.43999999999994,210.39,17.29711802581122,0.2555323,426.44131222266793,0.11995101,100.94538483959457,0.20129979,527.3866970622626,-0.6962586241964376,-0.0,27.133878147971163,19,4,4.0,0.0,100.0,40.861978940866635,29.572395764331468,Congestion Relief,-0.6722261349696361,56,1,40,86.2,Restricted
2020035,-122.583,41.6573,138.0,California,p06093,PACW,WECC_NWPP,PACW,35849,11.52902021288772,20.1765,1.0,0.01,0.01,0.0,0.2555323,426.44131222266793,0.11995101,100.94538483959457,0.20129979,527.3866970622626,56.25,150.0,74.18030325702604,19,4,4.0,26.3,100.0,59.66703125115025,39.908406226388195,Congestion Relief,150.0,56,1,40,86.2,Restricted
2020036,-122.62,38.9584,138.0,California,p06033,CISO-PGAE,WECC_CA,CISO,35850,21.237033901796952,37.1662,3.0,550.13,217.56,22.240683568510832,0.25830683,239.96796410992883,0.3971113,85.51590168297294,0.31382862,325.4838657929018,30.472584872421308,150.0,65.20777035116464,19,4,63.2,48.5,23.570058880981794,52.1330751211877,49.3856276396673,Wind+BESS,26.157335636189696,24,1,70,75.0,Clear
2020037,-122.636,38.72,138.0,California,p06033,CISO-PGAE,WECC_CA,CISO,35851,9.671835137919194,16.9263,4.0,897.19,240.57,19.72162143064643,0.25488418,238.89309019209318,0.4344906,52.03834362128202,0.32672673,290.9314338133752,32.581829205046915,149.91097499631303,62.4367600999831,19,4,70.0,22.1,11.887394240665518,52.471263824203305,42.89673161297376,Congestion Relief,26.46577522421805,24,1,70,75.0,Clear
2020038,-122.506,41.3756,138.0,California,p06093,PACW,WECC_NWPP,PACW,35852,0.0,0.0,3.0,361.88,190.04,17.328186332339,0.2630069,524.3073001144263,0.16981278,213.46082494542122,0.22572926,737.7681250598475,-0.6962586241964376,-0.0,27.133878147971163,19,4,16.8,0.0,100.0,40.861978940866635,34.052395425777085,Congestion Relief,-0.6722261349696361,56,1,40,86.2,Restricted
2020039,-122.506,41.3756,138.0,California,p06093,PACW,WECC_NWPP,PACW,35852,7.742292663385601,13.5495,1.0,0.01,0.01,0.0,0.2630069,524.3073001144263,0.16981278,213.46082494542122,0.22572926,737.7681250598475,31.25,150.0,62.22766754985801,19,4,16.8,17.7,100.0,52.102214456471565,40.72544252889807,Congestion Relief,0.0,56,1,40,86.2,Restricted
2020040,-122.446,40.5117,138.0,California,p06089,CISO-PGAE,WECC_CA,CISO,35853,0.0,0.0,3.0,406.63,219.62,3.3607404225056285,0.24419855,36.926752755004756,0.27509436,12.306890775215486,0.25655687,49.23364353022024,4.845619394695836,33.99950347608431,25.261821626228993,19,4,33.1,0.0,100.0,42.179933126772156,40.02098570982709,Congestion Relief,5.466797698260654,44,1,60,78.1,Limited
2020041,-122.446,40.5117,138.0,California,p06089,CISO-PGAE,WECC_CA,CISO,35853,18.378898317500287,32.1642,1.0,0.01,0.01,0.0,0.24419855,36.926752755004756,0.27509436,12.306890775215486,0.25655687,49.23364353022024,93.75,150.0,74.18030325702604,19,4,33.1,42.0,100.0,69.5908648318625,56.00317205084516,Solar+BESS,150.0,44,1,60,78.1,Limited
2020042,-122.41,40.5918,138.0,California,p06089,BANC,WECC_CA,CISO,35854,29.323025901339133,51.3172,2.0,391.74,212.49,8.127025028395876,0.24227795,2.3796714641881316,0.32602832,1.1639697379181024,0.2757781,3.543641202106234,7.07598665475246,55.42837544142702,29.754704283076084,19,4,43.2,67.0,15.704583284902931,43.126860578717135,43.63628865828309,Wind+BESS,10.377603951964453,44,1,60,78.1,Limited
2020043,-122.465,40.36,138.0,California,p06103,CISO-PGAE,WECC_CA,CISO,35855,18.204033409637177,31.8582,2.0,497.93000000000006,260.1,20.86412506298533,0.24481133,1073.2299026675475,0.22329545,121.39162823881367,0.23620498,1194.6215309063612,2.8957589424000703,26.67935362127163,24.825702701096336,19,4,22.4,41.6,6.214524274470832,41.62930693678495,27.80876591800189,Solar+BESS,-0.7773595496137502,22,2,60,78.1,Limited
2020044,-122.482,40.1428,138.0,California,p06103,CISO-PGAE,WECC_CA,CISO,35856,15.61120992331464,27.3206,1.0,0.01,0.01,0.0,0.2541113,1954.3154749543528,0.1505641,604.6283807803966,0.21269241,2558.9438557347494,150.0,150.0,0.0,19,4,10.0,35.7,100.0,78.58739132701493,48.142478265402985,Congestion Relief,150.0,22,2,60,78.1,Limited
2020045,-122.482,40.1428,138.0,California,p06103,CISO-PGAE,WECC_CA,CISO,35856,0.0,0.0,3.0,460.34000000000003,237.83,18.199082206649752,0.2541113,1954.3154749543528,0.1505641,604.6283807803966,0.21269241,2558.9438557347494,2.9791880088441487,31.077158181002645,25.225699929600772,19,4,10.0,0.0,100.0,41.68314128211062,31.836628256422124,Congestion Relief,-1.311937921780901,22,2,60,78.1,Limited
